nom_model,type_reseau_de_neurone,winrate,training_time,nb_partie,nb_epoch,nb_simulation,batch_size,UBC_coef_C,temperature,dirichlet_epsilon,dirichlet_alpha,learning_rate,weight_decay
model_resnet-16_6_cycle.pt,resnet,65,1711.7,40,3,400,4,1.24,1.5,0.42,0.46,8e-06,0.00035
model_resnet-16_7_cycle.pt,resnet,58,1711.7,40,3,400,4,1.24,1.5,0.42,0.46,8e-06,0.00035
model_resnet-16_8_cycle.pt,resnet,56,1711.7,40,3,400,4,1.24,1.5,0.42,0.46,8e-06,0.00035
model_resnet-16_9_cycle.pt,resnet,57,1711.7,40,3,400,4,1.24,1.5,0.42,0.46,8e-06,0.00035

model_resnet-17_1_cycle.pt,resnet,54.0,1870.2599999999998,30,2,400,2,1.24,1.5,0.42,0.46,2e-05,0.00035
model_resnet-17_2_cycle.pt,resnet,56.0,1870.2599999999998,30,2,400,2,1.24,1.5,0.42,0.46,2e-05,0.00035
model_resnet-17_3_cycle.pt,resnet,60.0,1870.2599999999998,30,2,400,2,1.24,1.5,0.42,0.46,2e-05,0.00035
model_resnet-17_4_cycle.pt,resnet,61.0,1870.2599999999998,30,2,400,2,1.24,1.5,0.42,0.46,2e-05,0.00035
model_resnet-17_5_cycle.pt,resnet,63.0,1870.2599999999998,30,2,400,2,1.24,1.5,0.42,0.46,2e-05,0.00035
model_resnet-17_6_cycle.pt,resnet,71.0,1870.2599999999998,30,2,400,2,1.24,1.5,0.42,0.46,2e-05,0.00035
model_resnet-17_7_cycle.pt,resnet,77.0,1870.2599999999998,30,2,400,2,1.24,1.5,0.42,0.46,2e-05,0.00035
model_resnet-17_8_cycle.pt,resnet,72.0,1870.2599999999998,30,2,400,2,1.24,1.5,0.42,0.46,2e-05,0.00035
model_resnet-17_9_cycle.pt,resnet,75.5,1870.2599999999998,30,2,400,2,1.24,1.5,0.42,0.46,2e-05,0.00035
model_resnet-17_10_cycle.pt,resnet,79.0,1870.2599999999998,30,2,400,2,1.24,1.5,0.42,0.46,2e-05,0.00035

model_resnet-18_1_cycle.pt,resnet,46.5,4839.92,60,2,400,2,1.24,1.5,0.42,0.46,1e-05,0.00035
model_resnet-18_2_cycle.pt,resnet,62.5,4839.92,60,2,400,2,1.24,1.5,0.42,0.46,1e-05,0.00035
model_resnet-18_3_cycle.pt,resnet,62.0,4839.92,60,2,400,2,1.24,1.5,0.42,0.46,1e-05,0.00035
model_resnet-18_4_cycle.pt,resnet,59.5,4839.92,60,2,400,2,1.24,1.5,0.42,0.46,1e-05,0.00035
model_resnet-18_5_cycle.pt,resnet,64.0,4839.92,60,2,400,2,1.24,1.5,0.42,0.46,1e-05,0.00035
model_resnet-18_6_cycle.pt,resnet,70.5,4839.92,60,2,400,2,1.24,1.5,0.42,0.46,1e-05,0.00035
model_resnet-18_7_cycle.pt,resnet,71.0,4839.92,60,2,400,2,1.24,1.5,0.42,0.46,1e-05,0.00035
model_resnet-18_8_cycle.pt,resnet,77.5,4839.92,60,2,400,2,1.24,1.5,0.42,0.46,1e-05,0.00035
model_resnet-18_9_cycle.pt,resnet,73.0,4839.92,60,2,400,2,1.24,1.5,0.42,0.46,1e-05,0.00035
model_resnet-18_10_cycle.pt,resnet,74.0,4839.92,60,2,400,2,1.24,1.5,0.42,0.46,1e-05,0.00035

model_resnet-17_1_cycle.pt,resnet,50,4839.92,15,1,200,4,1.25,1.5,0.25,0.30,3e-05,0.0001
model_resnet-17_2_cycle.pt,resnet,50,4839.92,15,1,200,4,1.25,1.5,0.25,0.30,3e-05,0.0001
model_resnet-17_3_cycle.pt,resnet,50,4839.92,15,1,200,4,1.25,1.5,0.25,0.30,3e-05,0.0001
model_resnet-17_4_cycle.pt,resnet,55,4839.92,15,1,200,4,1.25,1.5,0.25,0.30,3e-05,0.0001
model_resnet-17_5_cycle.pt,resnet,60,4839.92,15,1,200,4,1.25,1.5,0.25,0.30,3e-05,0.0001
model_resnet-17_6_cycle.pt,resnet,70,4839.92,15,1,200,4,1.25,1.5,0.25,0.30,3e-05,0.0001
model_resnet-17_7_cycle.pt,resnet,71,4839.92,15,1,200,4,1.25,1.5,0.25,0.30,3e-05,0.0001
